trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
518,False,"{'a': 0.5, 'e': 0.044422907851287996}",25,20,9.878257629242539,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
519,False,"{'a': 0.5, 'e': 0.04415716841969286}",20,14,-3.1968916654357864,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
520,False,"{'a': 0.5, 'e': 0.04389301865092984}",20,5,-15.954387032387995,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
521,False,"{'a': 0.5, 'e': 0.043630449035578674}",35,15,36.81491047050579,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
522,False,"{'a': 0.5, 'e': 0.04336945012110491}",35,8,-5.823908661534183,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 1}",1
523,False,"{'a': 0.5, 'e': 0.043110012511519386}",25,8,29.52393203065742,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
524,False,"{'a': 0.5, 'e': 0.04285212686704019}",20,12,1.7939690271925381,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
525,False,"{'a': 0.5, 'e': 0.042595783903756214}",20,14,11.301742724282029,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
526,False,"{'a': 0.5, 'e': 0.042340974393293145}",20,12,16.468202302744192,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
527,False,"{'a': 0.5, 'e': 0.042087689162481054}",25,3,-13.78568693543785,"{0: 19, 1: 1, 2: 0, 3: 2, 4: 0}",1
528,False,"{'a': 0.5, 'e': 0.0418359190930243}",30,18,15.960130036485305,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
529,False,"{'a': 0.5, 'e': 0.04158565512117316}",20,8,22.740060593198784,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
530,False,"{'a': 0.5, 'e': 0.041336888237397666}",30,10,36.90598371095097,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
531,False,"{'a': 0.5, 'e': 0.04108960948606308}",30,19,20.233566931816085,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
532,False,"{'a': 0.5, 'e': 0.0408438099651077}",25,19,10.29452472584056,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
533,False,"{'a': 0.5, 'e': 0.04059948082572218}",20,16,8.519730009402542,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
534,False,"{'a': 0.5, 'e': 0.04035661327203115}",30,16,10.053447190313602,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
535,False,"{'a': 0.5, 'e': 0.040115198560776416}",20,11,18.997532724502193,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
536,False,"{'a': 0.5, 'e': 0.039875228001002336}",25,15,17.26188108486135,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
537,False,"{'a': 0.5, 'e': 0.0396366929537428}",20,12,15.09719180565757,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
538,False,"{'a': 0.5, 'e': 0.03939958483171039}",25,9,23.9991795071613,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
